"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"48",1,"Selection Spectrum 1",1,57.8586407,59.34189877,3528.7,8436.2,4.569,4.569,2584,5168,1.483,4478.9,7062.9,4995.7,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","3",10,5,"clear","47702","Macauley Library"
"49",2,"Waveform 1",1,86.98684386,88.45345688,3334.3,8533.4,NA,NA,NA,NA,1.467,NA,NA,NA,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","5",10,5,"clear","47702","Macauley Library"
"50",2,"Spectrogram 1",1,86.98684386,88.45345688,3334.3,8533.4,4.558,2.614,2153.3,5857,1.467,4995.7,7149,5943.2,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","5",10,5,"clear","47702","Macauley Library"
"51",2,"Selection Spectrum 1",1,86.98684386,88.45345688,3334.3,8533.4,4.554,4.554,2153.3,5857,1.467,4995.7,7149,5857,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","5",10,5,"clear","47702","Macauley Library"
"52",3,"Waveform 1",1,70.56226348,72.70600767,3431.5,8339,NA,NA,NA,NA,2.144,NA,NA,NA,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","4",14,5,"clear","47702","Macauley Library"
"53",3,"Spectrogram 1",1,70.56226348,72.70600767,3431.5,8339,4.487,2.942,2239.5,5857,2.144,4909.6,7149,5943.2,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","4",14,5,"clear","47702","Macauley Library"
"54",3,"Selection Spectrum 1",1,70.56226348,72.70600767,3431.5,8339,4.501,4.501,2239.5,5857,2.144,4909.6,7149,5857,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","4",14,5,"clear","47702","Macauley Library"
"55",1,"Waveform 1",1,24.25769619,25.63712356,3171.4,8726.7,NA,NA,NA,NA,1.379,NA,NA,NA,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","2",11,4,"buzzy","47704","Macauley Library"
"56",1,"Spectrogram 1",1,24.25769619,25.63712356,3171.4,8726.7,4.684,3.505,1981.1,4995.7,1.379,4048.2,6029.3,5770.9,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","2",11,4,"buzzy","47704","Macauley Library"
"57",1,"Selection Spectrum 1",1,24.25769619,25.63712356,3171.4,8726.7,4.677,4.677,1981.1,4995.7,1.379,4048.2,6029.3,5943.2,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","2",11,4,"buzzy","47704","Macauley Library"
"58",2,"Waveform 1",1,8.222570464,9.585438804,3131.5,8686.9,NA,NA,NA,NA,1.363,NA,NA,NA,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","1",11,4,"buzzy","47704","Macauley Library"
"59",2,"Spectrogram 1",1,8.222570464,9.585438804,3131.5,8686.9,4.534,3.498,1894.9,5254.1,1.363,4134.4,6029.3,5943.2,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","1",11,4,"buzzy","47704","Macauley Library"
"60",2,"Selection Spectrum 1",1,8.222570464,9.585438804,3131.5,8686.9,4.536,4.536,1894.9,5254.1,1.363,4134.4,6029.3,5770.9,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","1",11,4,"buzzy","47704","Macauley Library"
"61",3,"Waveform 1",1,50.065264,51.51663028,2621.3,8630.2,NA,NA,NA,NA,1.451,NA,NA,NA,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","4",11,4,"buzzy","47704","Macauley Library"
"62",3,"Spectrogram 1",1,50.065264,51.51663028,2621.3,8630.2,4.391,3.285,1808.8,5684.8,1.451,4306.6,6115.4,6115.4,"47704_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav","song","4",11,4,"buzzy","47704","Macauley Library"
